 year |                   primary_situation                    | total_incidents 
 2007 | 141 - Forest, woods or wildland fire                   |               2
 2007 | 152 - Garbage dump or sanitary landfill fire           |               2
 2007 | 231 - Chem. reaction rupture of process vessel         |               1
 2007 | 813 - Wind storm, tornado/hurricane assessment         |               1
 2007 | 137 - Camper or recreational vehicle (RV) fire         |               1
 2007 | 161 - Outside storage fire                             |               1
 2007 | 372 - Trapped by power lines                           |               1
 2007 | 120 - Fire mob.prop. used as fixed structure           |               1
 2007 | 170 - Cultivated vegetation, crop fire, other          |               1
 2007 | 751 - Biological hazard, malicious false report        |               1
 2007 | 155 - Outside compactor/compacted trash fire           |               1
 2007 | 461 - Bldg/structure weakened or collapsed             |               1
 2007 | 213 - Steam rupture, pressure/process vessel           |               1
 2007 | 423 - Refrigeration leak                               |               1
 2007 | 800 - Severe weather/Nat. disaster, other              |               1
 2007 | 363 - Swift water rescue                               |               1
 2008 | 711 - Municipal alarm system, Street Box False         |            3000
 2008 | 700 - False alarm or false call, other                 |            1983
 2008 | 745 - Alarm system sounded/no fire-accidental          |            1967
 2008 | 311 - Medical assist, assist EMS crew                  |            1550
 2008 | 735 - Alarm system sounded due to malfunction          |            1499
 2008 | 740 - Unintentional alarm, other                       |            1143
 2008 | 113 - Cooking fire, confined to container              |             958
 2008 | 500 - Service Call, other                              |             902
 2008 | 733 - Smoke detector activation/malfunction            |             849
 2008 | 118 - Trash or rubbish fire, contained                 |             829
 2008 | 322 - Vehicle accident with injuries                   |             810
 2008 | 651 - Smoke scare, odor of smoke                       |             722
 2008 | 554 - Assist invalid                                   |             675
 2008 | 743 - Smoke detector, no fire, accidental              |             621
 2008 | 323 - Auto/Ped. Accident (Veh.)                        |             620
 2008 | 522 - Water or steam leak                              |             591
 2008 | 353 - Removal of victim(s) from stalled elev.          |             518
 2008 | 111 - Building fire                                    |             508
 2008 | 611 - Dispatched & canceled en route                   |             485
 2008 | 520 - Water problem, other                             |             477
 2008 | 300 - Rescue, EMS call, other                          |             435
 2008 | 551 - Assist PD or other Govern. Agency                |             415
 2008 | 324 - Motor vehicle accident with no injuries.         |             407
 2008 | 550 - Public service assistance, other                 |             356
 2008 | 622 - No incident found on arrival/disp. addr.         |             338
 2008 | 710 - Malicious, mischievous false call, other         |             328
 2008 | 744 - Detector activation, no fire - accident          |             312
 2008 | 600 - Good intent call, other                          |             309
 2008 | 151 - Outside rubbish, trash or waste fire             |             297
 2008 | 444 - Power line down (wire)                           |             292
 2008 | 400 - Hazardous condition, other                       |             286
 2008 | 440 - Elec. wiring/equip. problem, other               |             272
 2008 | 511 - Lock-out                                         |             263
 2008 | 531 - Smoke or odor removal                            |             252
 2008 | 131 - Passenger vehicle fire                           |             239
 2008 | 412 - Gas leak (natural gas or LPG)                    |             237
 2008 | 150 - Outside rubbish fire, other                      |             229
 2008 | 411 - Gasoline or other flammable liquid spill         |             228
 2008 | 331 - Lock-in (if lock out , use 511 )                 |             207
 2008 | 900 - Special type of incident, other                  |             200
 2008 | 911 - Citizen complaint                                |             178
 2008 | 154 - Dumpster/Outside trash receptacle fire           |             160
 2008 | 321 - EMS excluding veh. accident w/injuries           |             152
 2008 | 715 - Local alarm sys., Malicious False alarm          |             152
 2008 | 445 - Arcing, shorted electrical equipment             |             145
 2008 | 462 - Aircraft standby                                 |             125
 2008 | 553 - Public service                                   |             115
 2008 | 741 - Sprinkler activation/no fire-accidental          |             101
 2008 | 712 - Direct tie to FD, malicious/false alarm          |              96
 2008 | 413 - Oil or other combustible liquid spill            |              94
 2008 | 510 - Person in distress, other                        |              85
 2008 | 650 - Steam/gas mistaken for smoke, other              |              78
 2008 | 714 - Central station, malicious false alarm           |              76
 2008 | 130 - Mobile property (vehicle) fire, other            |              72
 2008 | 652 - Steam/vapor/fog/dust mistaken for smoke          |              71
 2008 | 442 - Overheated motor                                 |              71
 2008 | 143 - Grass fire                                       |              67
 2008 | 112 - Fires in struct. other than in a bldg.           |              64
 2008 | 552 - Police matter                                    |              60
 2008 | 463 - Vehicle accident, general cleanup                |              60
 2008 | 653 - Barbecue, tar kettle                             |              44
 2008 | 160 - Special outside fire, other                      |              41
 2008 | 142 - Brush, or brush and grass mixture fire           |              41
 2008 | 731 - Sprinkler activation due to malfunction          |              38
 2008 | 661 - EMS call, party transported by non-fire ag       |              37
 2008 | 350 - Extrication, rescue, other                       |              34
 2008 | 381 - Rescue or EMS standby                            |              34
 2008 | 460 - Accident, potential accident, other              |              33
 2008 | 671 - Hazmat release investigation w/no hazmat         |              32
 2008 | 555 - Defective elevator, no occupants                 |              31
 2008 | 521 - Water evacuation                                 |              29
 2008 | 352 - Extrication of victim(s) from vehicle            |              29
 2008 | 734 - Heat detector activation/malfunction             |              28
 2008 | 441 - Heat- short circuit, defect/worn wiring          |              25
 2008 | 730 - System malfunction, other                        |              25
 2008 | 364 - Surf rescue                                      |              24
 2008 | 251 - Excess heat, scorth burns with no ign.           |              24
 2008 | 422 - Chemical spill or leak(haz.)                     |              23
 2008 | 621 - Wrong location                                   |              22
 2008 | 542 - Animal rescue                                    |              21
 2008 | 340 - Search, other                                    |              21
 2008 | 221 - Rupture air or gas, pipe/pipline                 |              19
 2008 | 140 - Natural vegetation fire, other                   |              19
 2008 | 342 - Search for person in water                       |              19
 2008 | 410 - Flammable gas or liquid condition, other         |              18
 2008 | 736 - CO detector activation/malfunction               |              18
 2008 | 443 - Light ballast breakdown                          |              17
 2008 | 732 - Exting. sys. activation/ malfunction             |              17
 2008 | 641 - Vicinity alarm (incid. another location)         |              17
 2008 | 162 - Outside equipment fire                           |              17
 2008 | 713 - Telephone, malicious false alarm                 |              16
 2008 | 240 - Explosion (no fire), other                       |              16
 2008 | 210 - Steam Rupture, steam, other                      |              16
 2008 | Y -                                                    |              16
 2008 | 420 - Toxic condition, other (haz.)                    |              14
 2008 | 421 - Chemical hazard (no spill or leak)               |              14
 2008 | 742 - Extinguishing system activation                  |              12
 2008 | 114 - Chimney/flue fire, confined to chimney           |              12
 2008 | 461 - Bldg/structure weakened or collapsed             |              11
 2008 | 243 - Fireworks explosion (no fire)                    |              10
 2008 | 800 - Severe weather/Nat. disaster, other              |               9
 2008 | 371 - Electrocution or potential electrocution         |               9
 2008 | 672 - Biological hazard investigation,none found       |               9
 2008 | 356 - High angle rescue                                |               9
 2008 | 351 - Extrication of victim(s) from Structure          |               9
 2008 | 812 - Flood assessment                                 |               8
 2008 | 220 - Rupture from air or gas, other                   |               8
 2008 | 721 - Bomb scare - no bomb                             |               8
 2008 | 370 - Electrical rescue, other                         |               8
 2008 | 541 - Animal problem                                   |               7
 2008 | 357 - Extrication of victim(s) from machinery          |               7
 2008 | 451 - Biological hazard, confirmed or suspected        |               7
 2008 | 561 - Unauthorized burning                             |               7
 2008 | 173 - Cultivated trees or nursery stock fire           |               6
 2008 | 200 - Overpressure rupture/explosion, overheat         |               6
 2008 | 123 - Fire in portable bldg., fixed location           |               6
 2008 | 471 - Explosive/bomb removal(bomb scare =721)          |               6
 2008 | 164 - Outside mailbox fire                             |               6
 2008 | 134 - Water vehicle fire (Boat, Ship, etc.)            |               5
 2008 | 360 - Water & ice related rescue, other                |               5
 2008 | 481 - Attempt to burn                                  |               5
 2008 | 512 - Ring or jewelry removal                          |               5
 2008 | 746 - CO detector activation, no CO                    |               4
 2008 | 480 - Attempted burning, illegal action, other         |               4
 2008 | 571 - Cover assignment, standby, moveup                |               4
 2008 | 122 - Fire in motor home, camper or RV                 |               4
 2008 | 813 - Wind storm, tornado/hurricane assessment         |               4
 2008 | 116 - Fuel burner/boiler mal., fire coinfined          |               4
 2008 | 132 - Road freight or transport vehicle fire           |               4
 2008 | 540 - Animal problem, other                            |               4
 2008 | 361 - Swimming/recreational water areas rescue         |               3
 2008 | 161 - Outside storage fire                             |               3
 2008 | 223 - Air/gas rupture of pressure or process           |               3
 2008 | 117 - Commercial Compactor fire, rubbish only          |               3
 2008 | 365 - Watercraft rescue                                |               3
 2008 | 212 - Overpressure rupture of steam boiler             |               3
 2008 | 153 - Construction or demolition landfill fire         |               3
 2008 | 141 - Forest, woods or wildland fire                   |               2
 2008 | 152 - Garbage dump or sanitary landfill fire           |               2
 2008 | 163 - Outside gas/vapor combustion explosion           |               2
 2008 | 424 - Carbon monoxide incident                         |               2
 2008 | 423 - Refrigeration leak                               |               2
 2008 | 211 - Steam Rupture, Pipe or pipeline                  |               2
 2008 | 341 - Search for person on land                        |               2
 2008 | 170 - Cultivated vegetation, crop fire, other          |               2
 2008 | 137 - Camper or recreational vehicle (RV) fire         |               2
 2008 | 241 - Munitions or bomb explosion (no fire)            |               1
 2008 | 100 - Fire, other                                      |               1
 2008 | 135 - Aircraft fire                                    |               1
 2008 | 136 - Self-propelled motor home or RV                  |               1
 2008 | 343 - Search for person underground                    |               1
 2008 | 120 - Fire mob.prop. used as fixed structure           |               1
 2008 | 362 - Ice rescue                                       |               1
 2008 | 121 - Fire in mob. home used as residence              |               1
 2008 | 115 - Incinerator overload/mal.,fire confined          |               1
 2008 | 482 - Threat to burn                                   |               1
 2008 | 631 - Authorized controlled burning                    |               1
 2008 | 242 - Blasting agent explosion (no fire)               |               1
 2008 | 213 - Steam rupture, pressure/process vessel           |               1
 2008 | 155 - Outside compactor/compacted trash fire           |               1
 2008 | 222 - Rupture of boiler from air or gas                |               1
 2008 | N/A -                                                  |               1
 2008 | 751 - Biological hazard, malicious false report        |               1
 2008 | 355 - Confined space rescue                            |               1
 2008 | 354 - Trench/below grade rescue                        |               1
 2008 | 372 - Trapped by power lines                           |               1
 2009 | 711 - Municipal alarm system, Street Box False         |            4259
 2009 | 700 - False alarm or false call, other                 |            2343
 2009 | 745 - Alarm system sounded/no fire-accidental          |            1732
 2009 | 735 - Alarm system sounded due to malfunction          |            1244
 2009 | 113 - Cooking fire, confined to container              |            1213
 2009 | 322 - Vehicle accident with injuries                   |            1096
 2009 | 311 - Medical assist, assist EMS crew                  |            1092
 2009 | 733 - Smoke detector activation/malfunction            |            1042
 2009 | 500 - Service Call, other                              |             780
 2009 | 740 - Unintentional alarm, other                       |             769
 2009 | 323 - Auto/Ped. Accident (Veh.)                        |             764
 2009 | 118 - Trash or rubbish fire, contained                 |             688
 2009 | 743 - Smoke detector, no fire, accidental              |             669
 2009 | 651 - Smoke scare, odor of smoke                       |             618
 2009 | 554 - Assist invalid                                   |             598
 2009 | 324 - Motor vehicle accident with no injuries.         |             562
 2009 | 522 - Water or steam leak                              |             520
 2009 | 353 - Removal of victim(s) from stalled elev.          |             511
 2009 | 611 - Dispatched & canceled en route                   |             495
 2009 | 551 - Assist PD or other Govern. Agency                |             488
 2009 | 520 - Water problem, other                             |             481
 2009 | 300 - Rescue, EMS call, other                          |             440
 2009 | 111 - Building fire                                    |             409
 2009 | 600 - Good intent call, other                          |             355
 2009 | 151 - Outside rubbish, trash or waste fire             |             349
 2009 | 744 - Detector activation, no fire - accident          |             343
 2009 | 550 - Public service assistance, other                 |             295
 2009 | 511 - Lock-out                                         |             289
 2009 | 622 - No incident found on arrival/disp. addr.         |             287
 2009 | 710 - Malicious, mischievous false call, other         |             271
 2009 | 150 - Outside rubbish fire, other                      |             271
 2009 | 444 - Power line down (wire)                           |             236
 2009 | 400 - Hazardous condition, other                       |             218
 2009 | 131 - Passenger vehicle fire                           |             217
 2009 | 911 - Citizen complaint                                |             216
 2009 | 900 - Special type of incident, other                  |             210
 2009 | 411 - Gasoline or other flammable liquid spill         |             202
 2009 | 440 - Elec. wiring/equip. problem, other               |             200
 2009 | 412 - Gas leak (natural gas or LPG)                    |             193
 2009 | 531 - Smoke or odor removal                            |             183
 2009 | 331 - Lock-in (if lock out , use 511 )                 |             180
 2009 | 154 - Dumpster/Outside trash receptacle fire           |             142
 2009 | 715 - Local alarm sys., Malicious False alarm          |             135
 2009 | 462 - Aircraft standby                                 |             132
 2009 | 321 - EMS excluding veh. accident w/injuries           |             117
 2009 | 712 - Direct tie to FD, malicious/false alarm          |             115
 2009 | 714 - Central station, malicious false alarm           |             110
 2009 | 510 - Person in distress, other                        |             100
 2009 | 445 - Arcing, shorted electrical equipment             |              94
 2009 | 463 - Vehicle accident, general cleanup                |              92
 2009 | 553 - Public service                                   |              89
 2009 | 413 - Oil or other combustible liquid spill            |              75
 2009 | 741 - Sprinkler activation/no fire-accidental          |              73
 2009 | 130 - Mobile property (vehicle) fire, other            |              63
 2009 | 160 - Special outside fire, other                      |              63
 2009 | 653 - Barbecue, tar kettle                             |              59
 2009 | 442 - Overheated motor                                 |              57
 2009 | 650 - Steam/gas mistaken for smoke, other              |              56
 2009 | 652 - Steam/vapor/fog/dust mistaken for smoke          |              54
 2009 | 552 - Police matter                                    |              54
 2009 | 350 - Extrication, rescue, other                       |              50
 2009 | 112 - Fires in struct. other than in a bldg.           |              50
 2009 | 143 - Grass fire                                       |              49
 2009 | 661 - EMS call, party transported by non-fire ag       |              40
 2009 | 441 - Heat- short circuit, defect/worn wiring          |              37
 2009 | 142 - Brush, or brush and grass mixture fire           |              37
 2009 | 555 - Defective elevator, no occupants                 |              32
 2009 | 422 - Chemical spill or leak(haz.)                     |              31
 2009 | 641 - Vicinity alarm (incid. another location)         |              31
 2009 | 381 - Rescue or EMS standby                            |              28
 2009 | 521 - Water evacuation                                 |              26
 2009 | 736 - CO detector activation/malfunction               |              26
 2009 | 140 - Natural vegetation fire, other                   |              26
 2009 | 352 - Extrication of victim(s) from vehicle            |              26
 2009 | 251 - Excess heat, scorth burns with no ign.           |              25
 2009 | 460 - Accident, potential accident, other              |              23
 2009 | 671 - Hazmat release investigation w/no hazmat         |              22
 2009 | 342 - Search for person in water                       |              22
 2009 | 364 - Surf rescue                                      |              22
 2009 | 424 - Carbon monoxide incident                         |              21
 2009 | 731 - Sprinkler activation due to malfunction          |              20
 2009 | 542 - Animal rescue                                    |              19
 2009 | Y -                                                    |              19
 2009 | 221 - Rupture air or gas, pipe/pipline                 |              19
 2009 | 512 - Ring or jewelry removal                          |              18
 2009 | 621 - Wrong location                                   |              18
 2009 | 410 - Flammable gas or liquid condition, other         |              18
 2009 | 734 - Heat detector activation/malfunction             |              18
 2009 | 421 - Chemical hazard (no spill or leak)               |              17
 2009 | 114 - Chimney/flue fire, confined to chimney           |              17
 2009 | 713 - Telephone, malicious false alarm                 |              16
 2009 | 123 - Fire in portable bldg., fixed location           |              14
 2009 | 730 - System malfunction, other                        |              14
 2009 | 240 - Explosion (no fire), other                       |              13
 2009 | 356 - High angle rescue                                |              13
 2009 | 812 - Flood assessment                                 |              13
 2009 | 162 - Outside equipment fire                           |              13
 2009 | 243 - Fireworks explosion (no fire)                    |              12
 2009 | 210 - Steam Rupture, steam, other                      |              12
 2009 | 211 - Steam Rupture, Pipe or pipeline                  |              12
 2009 | 365 - Watercraft rescue                                |              11
 2009 | 132 - Road freight or transport vehicle fire           |              11
 2009 | 340 - Search, other                                    |              11
 2009 | 357 - Extrication of victim(s) from machinery          |              11
 2009 | 732 - Exting. sys. activation/ malfunction             |              10
 2009 | 443 - Light ballast breakdown                          |              10
 2009 | 672 - Biological hazard investigation,none found       |               8
 2009 | 420 - Toxic condition, other (haz.)                    |               8
 2009 | 746 - CO detector activation, no CO                    |               8
 2009 | 371 - Electrocution or potential electrocution         |               8
 2009 | 451 - Biological hazard, confirmed or suspected        |               7
 2009 | 360 - Water & ice related rescue, other                |               7
 2009 | 721 - Bomb scare - no bomb                             |               7
 2009 | 481 - Attempt to burn                                  |               7
 2009 | 540 - Animal problem, other                            |               6
 2009 | 480 - Attempted burning, illegal action, other         |               6
 2009 | 200 - Overpressure rupture/explosion, overheat         |               5
 2009 | 471 - Explosive/bomb removal(bomb scare =721)          |               5
 2009 | 122 - Fire in motor home, camper or RV                 |               5
 2009 | 220 - Rupture from air or gas, other                   |               4
 2009 | 341 - Search for person on land                        |               4
 2009 | 161 - Outside storage fire                             |               4
 2009 | 100 - Fire, other                                      |               4
 2009 | 742 - Extinguishing system activation                  |               4
 2009 | 361 - Swimming/recreational water areas rescue         |               4
 2009 | 561 - Unauthorized burning                             |               3
 2009 | 461 - Bldg/structure weakened or collapsed             |               3
 2009 | 141 - Forest, woods or wildland fire                   |               3
 2009 | 800 - Severe weather/Nat. disaster, other              |               3
 2009 | 164 - Outside mailbox fire                             |               3
 2009 | 814 - Lightning strike (no fire)                       |               3
 2009 | 213 - Steam rupture, pressure/process vessel           |               3
 2009 | 231 - Chem. reaction rupture of process vessel         |               3
 2009 | 571 - Cover assignment, standby, moveup                |               2
 2009 | 223 - Air/gas rupture of pressure or process           |               2
 2009 | 212 - Overpressure rupture of steam boiler             |               2
 2009 | 355 - Confined space rescue                            |               2
 2009 | 155 - Outside compactor/compacted trash fire           |               2
 2009 | 117 - Commercial Compactor fire, rubbish only          |               2
 2009 | 423 - Refrigeration leak                               |               2
 2009 | 222 - Rupture of boiler from air or gas                |               2
 2009 | 173 - Cultivated trees or nursery stock fire           |               2
 2009 | 116 - Fuel burner/boiler mal., fire coinfined          |               2
 2009 | 138 - Off-road vehicle or heavy equipment fire         |               2
 2009 | 813 - Wind storm, tornado/hurricane assessment         |               1
 2009 | 354 - Trench/below grade rescue                        |               1
 2009 | 372 - Trapped by power lines                           |               1
 2009 | 632 - Prescribed fire                                  |               1
 2009 | 115 - Incinerator overload/mal.,fire confined          |               1
 2009 | 135 - Aircraft fire                                    |               1
 2009 | 137 - Camper or recreational vehicle (RV) fire         |               1
 2009 | 370 - Electrical rescue, other                         |               1
 2009 | 170 - Cultivated vegetation, crop fire, other          |               1
 2009 | 351 - Extrication of victim(s) from Structure          |               1
 2009 | 631 - Authorized controlled burning                    |               1
 2009 | 343 - Search for person underground                    |               1
 2009 | 541 - Animal problem                                   |               1
 2010 | 711 - Municipal alarm system, Street Box False         |            5156
 2010 | 745 - Alarm system sounded/no fire-accidental          |            1958
 2010 | 700 - False alarm or false call, other                 |            1957
 2010 | 322 - Vehicle accident with injuries                   |            1484
 2010 | 735 - Alarm system sounded due to malfunction          |            1402
 2010 | 113 - Cooking fire, confined to container              |            1272
 2010 | 311 - Medical assist, assist EMS crew                  |            1008
 2010 | 323 - Auto/Ped. Accident (Veh.)                        |             916
 2010 | 733 - Smoke detector activation/malfunction            |             888
 2010 | 740 - Unintentional alarm, other                       |             836
 2010 | 324 - Motor vehicle accident with no injuries.         |             767
 2010 | 500 - Service Call, other                              |             760
 2010 | 743 - Smoke detector, no fire, accidental              |             652
 2010 | 651 - Smoke scare, odor of smoke                       |             644
 2010 | 554 - Assist invalid                                   |             639
 2010 | 118 - Trash or rubbish fire, contained                 |             603
 2010 | 611 - Dispatched & canceled en route                   |             592
 2010 | 353 - Removal of victim(s) from stalled elev.          |             504
 2010 | 551 - Assist PD or other Govern. Agency                |             464
 2010 | 111 - Building fire                                    |             438
 2010 | 522 - Water or steam leak                              |             410
 2010 | 550 - Public service assistance, other                 |             380
 2010 | 622 - No incident found on arrival/disp. addr.         |             343
 2010 | 520 - Water problem, other                             |             343
 2010 | 300 - Rescue, EMS call, other                          |             325
 2010 | 600 - Good intent call, other                          |             324
 2010 | 151 - Outside rubbish, trash or waste fire             |             318
 2010 | 511 - Lock-out                                         |             312
 2010 | 744 - Detector activation, no fire - accident          |             291
 2010 | 412 - Gas leak (natural gas or LPG)                    |             250
 2010 | 444 - Power line down (wire)                           |             238
 2010 | 150 - Outside rubbish fire, other                      |             220
 2010 | 710 - Malicious, mischievous false call, other         |             219
 2010 | 131 - Passenger vehicle fire                           |             212
 2010 | 440 - Elec. wiring/equip. problem, other               |             208
 2010 | 411 - Gasoline or other flammable liquid spill         |             204
 2010 | 400 - Hazardous condition, other                       |             198
 2010 | 531 - Smoke or odor removal                            |             185
 2010 | 331 - Lock-in (if lock out , use 511 )                 |             182
 2010 | 911 - Citizen complaint                                |             178
 2010 | 900 - Special type of incident, other                  |             171
 2010 | 321 - EMS excluding veh. accident w/injuries           |             168
 2010 | 715 - Local alarm sys., Malicious False alarm          |             138
 2010 | 154 - Dumpster/Outside trash receptacle fire           |             138
 2010 | 445 - Arcing, shorted electrical equipment             |             119
 2010 | 712 - Direct tie to FD, malicious/false alarm          |             102
 2010 | 553 - Public service                                   |              88
 2010 | 714 - Central station, malicious false alarm           |              86
 2010 | 510 - Person in distress, other                        |              83
 2010 | 463 - Vehicle accident, general cleanup                |              82
 2010 | 741 - Sprinkler activation/no fire-accidental          |              77
 2010 | 462 - Aircraft standby                                 |              74
 2010 | 652 - Steam/vapor/fog/dust mistaken for smoke          |              68
 2010 | 442 - Overheated motor                                 |              68
 2010 | 650 - Steam/gas mistaken for smoke, other              |              67
 2010 | 653 - Barbecue, tar kettle                             |              66
 2010 | 413 - Oil or other combustible liquid spill            |              58
 2010 | 130 - Mobile property (vehicle) fire, other            |              54
 2010 | 661 - EMS call, party transported by non-fire ag       |              50
 2010 | 143 - Grass fire                                       |              46
 2010 | 552 - Police matter                                    |              46
 2010 | 112 - Fires in struct. other than in a bldg.           |              40
 2010 | 340 - Search, other                                    |              36
 2010 | 350 - Extrication, rescue, other                       |              36
 2010 | 160 - Special outside fire, other                      |              34
 2010 | 422 - Chemical spill or leak(haz.)                     |              33
 2010 | 555 - Defective elevator, no occupants                 |              33
 2010 | 460 - Accident, potential accident, other              |              32
 2010 | 731 - Sprinkler activation due to malfunction          |              29
 2010 | 441 - Heat- short circuit, defect/worn wiring          |              29
 2010 | 734 - Heat detector activation/malfunction             |              27
 2010 | 732 - Exting. sys. activation/ malfunction             |              26
 2010 | 736 - CO detector activation/malfunction               |              26
 2010 | 142 - Brush, or brush and grass mixture fire           |              25
 2010 | 243 - Fireworks explosion (no fire)                    |              25
 2010 | 542 - Animal rescue                                    |              25
 2010 | 342 - Search for person in water                       |              25
 2010 | 352 - Extrication of victim(s) from vehicle            |              24
 2010 | 410 - Flammable gas or liquid condition, other         |              24
 2010 | 381 - Rescue or EMS standby                            |              22
 2010 | 671 - Hazmat release investigation w/no hazmat         |              22
 2010 | 140 - Natural vegetation fire, other                   |              21
 2010 | 364 - Surf rescue                                      |              21
 2010 | 512 - Ring or jewelry removal                          |              19
 2010 | 521 - Water evacuation                                 |              19
 2010 | 641 - Vicinity alarm (incid. another location)         |              19
 2010 | 114 - Chimney/flue fire, confined to chimney           |              17
 2010 | 251 - Excess heat, scorth burns with no ign.           |              16
 2010 | 621 - Wrong location                                   |              15
 2010 | 221 - Rupture air or gas, pipe/pipline                 |              15
 2010 | 713 - Telephone, malicious false alarm                 |              14
 2010 | 672 - Biological hazard investigation,none found       |              14
 2010 | 240 - Explosion (no fire), other                       |              14
 2010 | 210 - Steam Rupture, steam, other                      |              13
 2010 | 742 - Extinguishing system activation                  |              13
 2010 | 424 - Carbon monoxide incident                         |              13
 2010 | 365 - Watercraft rescue                                |              12
 2010 | 361 - Swimming/recreational water areas rescue         |              11
 2010 | 421 - Chemical hazard (no spill or leak)               |              11
 2010 | 443 - Light ballast breakdown                          |              11
 2010 | 746 - CO detector activation, no CO                    |              10
 2010 | 360 - Water & ice related rescue, other                |               9
 2010 | 812 - Flood assessment                                 |               9
 2010 | 200 - Overpressure rupture/explosion, overheat         |               9
 2010 | 371 - Electrocution or potential electrocution         |               8
 2010 | 357 - Extrication of victim(s) from machinery          |               8
 2010 | 480 - Attempted burning, illegal action, other         |               8
 2010 | 451 - Biological hazard, confirmed or suspected        |               7
 2010 | 540 - Animal problem, other                            |               7
 2010 | 356 - High angle rescue                                |               7
 2010 | 116 - Fuel burner/boiler mal., fire coinfined          |               7
 2010 | 223 - Air/gas rupture of pressure or process           |               7
 2010 | 211 - Steam Rupture, Pipe or pipeline                  |               7
 2010 | 162 - Outside equipment fire                           |               7
 2010 | 132 - Road freight or transport vehicle fire           |               6
 2010 | 461 - Bldg/structure weakened or collapsed             |               6
 2010 | 420 - Toxic condition, other (haz.)                    |               6
 2010 | 173 - Cultivated trees or nursery stock fire           |               6
 2010 | 730 - System malfunction, other                        |               5
 2010 | 220 - Rupture from air or gas, other                   |               5
 2010 | 161 - Outside storage fire                             |               5
 2010 | 481 - Attempt to burn                                  |               5
 2010 | 164 - Outside mailbox fire                             |               5
 2010 | 122 - Fire in motor home, camper or RV                 |               4
 2010 | 141 - Forest, woods or wildland fire                   |               4
 2010 | 721 - Bomb scare - no bomb                             |               4
 2010 | 370 - Electrical rescue, other                         |               4
 2010 | 351 - Extrication of victim(s) from Structure          |               4
 2010 | 138 - Off-road vehicle or heavy equipment fire         |               3
 2010 | 117 - Commercial Compactor fire, rubbish only          |               3
 2010 | 800 - Severe weather/Nat. disaster, other              |               3
 2010 | 482 - Threat to burn                                   |               3
 2010 | N/A -                                                  |               3
 2010 | 471 - Explosive/bomb removal(bomb scare =721)          |               3
 2010 | 561 - Unauthorized burning                             |               3
 2010 | 354 - Trench/below grade rescue                        |               2
 2010 | 123 - Fire in portable bldg., fixed location           |               2
 2010 | 541 - Animal problem                                   |               2
 2010 | 632 - Prescribed fire                                  |               2
 2010 | Y -                                                    |               2
 2010 | 571 - Cover assignment, standby, moveup                |               2
 2010 | 423 - Refrigeration leak                               |               2
 2010 | 152 - Garbage dump or sanitary landfill fire           |               1
 2010 | 137 - Camper or recreational vehicle (RV) fire         |               1
 2010 | 241 - Munitions or bomb explosion (no fire)            |               1
 2010 | 213 - Steam rupture, pressure/process vessel           |               1
 2010 | 120 - Fire mob.prop. used as fixed structure           |               1
 2010 | 631 - Authorized controlled burning                    |               1
 2010 | 353 Removal of victim(s) from stalled elevator         |               1
 2010 | 155 - Outside compactor/compacted trash fire           |               1
 2010 | 341 - Search for person on land                        |               1
 2010 | 814 - Lightning strike (no fire)                       |               1
 2010 | 751 - Biological hazard, malicious false report        |               1
 2010 | 710 Malicious, mischievous false call, other           |               1
 2010 | 242 - Blasting agent explosion (no fire)               |               1
 2011 | 711 - Municipal alarm system, Street Box False         |            5699
 2011 | 700 - False alarm or false call, other                 |            1956
 2011 | 745 - Alarm system sounded/no fire-accidental          |            1852
 2011 | 735 - Alarm system sounded due to malfunction          |            1459
 2011 | 322 - Vehicle accident with injuries                   |            1414
 2011 | 113 - Cooking fire, confined to container              |            1177
 2011 | 733 - Smoke detector activation/malfunction            |             947
 2011 | 311 - Medical assist, assist EMS crew                  |             935
 2011 | 323 - Auto/Ped. Accident (Veh.)                        |             906
 2011 | 740 - Unintentional alarm, other                       |             881
 2011 | 324 - Motor vehicle accident with no injuries.         |             780
 2011 | 500 - Service Call, other                              |             777
 2011 | 554 - Assist invalid                                   |             679
 2011 | 118 - Trash or rubbish fire, contained                 |             636
 2011 | 651 - Smoke scare, odor of smoke                       |             626
 2011 | 743 - Smoke detector, no fire, accidental              |             575
 2011 | 353 - Removal of victim(s) from stalled elev.          |             530
 2011 | 551 - Assist PD or other Govern. Agency                |             459
 2011 | 151 - Outside rubbish, trash or waste fire             |             425
 2011 | 111 - Building fire                                    |             421
 2011 | 622 - No incident found on arrival/disp. addr.         |             392
 2011 | 522 - Water or steam leak                              |             370
 2011 | 520 - Water problem, other                             |             360
 2011 | 611 - Dispatched & canceled en route                   |             351
 2011 | 550 - Public service assistance, other                 |             347
 2011 | 300 - Rescue, EMS call, other                          |             320
 2011 | 600 - Good intent call, other                          |             291
 2011 | 511 - Lock-out                                         |             288
 2011 | 150 - Outside rubbish fire, other                      |             288
 2011 | 444 - Power line down (wire)                           |             279
 2011 | 412 - Gas leak (natural gas or LPG)                    |             242
 2011 | 440 - Elec. wiring/equip. problem, other               |             218
 2011 | 131 - Passenger vehicle fire                           |             197
 2011 | 911 - Citizen complaint                                |             188
 2011 | 400 - Hazardous condition, other                       |             187
 2011 | 744 - Detector activation, no fire - accident          |             184
 2011 | 331 - Lock-in (if lock out , use 511 )                 |             176
 2011 | 411 - Gasoline or other flammable liquid spill         |             162
